"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1001002-04","","佐賀駅バスセンター 4番のりば","","33.26442","130.29926","1001002-04","","0","1001002","",""
"1002003-10","","市役所前(1)","","33.263755","130.300205","1002003-10","","0","1002003","",""
"1002004-20","","駅南本町(2)","","33.261857","130.298712","1002004-20","","0","1002004","",""
"1002005-20","","唐人町(2)","","33.25875","130.299111","1002005-20","","0","1002005","",""
"1002006-20","","白山(2)","","33.255358","130.299751","1002006-20","","0","1002006","",""
"1002007-20","","中の小路(2)","","33.254056","130.299978","1002007-20","","0","1002007","",""
"1002008-20","","県庁前(2)","","33.251526","130.30029","1002008-20","","0","1002008","",""
"1003011-00","","県庁前","","33.250532","130.298565","1003011-00","","0","1003011","",""
"1003013-20","","辻の堂(2)","","33.250109","130.294796","1003013-20","","0","1003013","",""
"1003014-00","","与賀町西","","33.249783","130.291639","1003014-00","","0","1003014","",""
"1003015-20","","西田代(2)","","33.249142","130.287336","1003015-20","","0","1003015","",""
"1003016-20","","道祖元町(2)","","33.2475","130.28505","1003016-20","","0","1003016","",""
"1003021-00","","佐賀女子短大・高校前","","33.24626","130.28627","1003021-00","","0","1003021","",""
"1003016-10","","道祖元町(1)","","33.24747","130.28499","1003016-10","","0","1003016","",""
"1003015-10","","西田代(1)","","33.24941","130.288058","1003015-10","","0","1003015","",""
"1003013-10","","辻の堂(1)","","33.250118","130.293428","1003013-10","","0","1003013","",""
"1003012-00","","県警本部前","","33.250695","130.298559","1003012-00","","0","1003012","",""
"1002008-10","","県庁前(1)","","33.251331","130.300168","1002008-10","","0","1002008","",""
"1002007-10","","中の小路(1)","","33.253821","130.299857","1002007-10","","0","1002007","",""
"1002006-10","","白山(1)","","33.254817","130.299688","1002006-10","","0","1002006","",""
"1002005-10","","唐人町(1)","","33.259143","130.298909","1002005-10","","0","1002005","",""
"1002004-10","","駅南本町(1)","","33.260865","130.298501","1002004-10","","0","1002004","",""
"1002003-20","","市役所前(2)","","33.263645","130.300045","1002003-20","","0","1002003","",""
"1003017-20","","与賀町(2)","","33.2481","130.29295","1003017-20","","0","1003017","",""
"1003018-03","","佐賀大学前(3)","","33.24476","130.29268","1003018-03","","0","1003018","",""
"1003019-20","","佐賀大学西(2)","","33.24455","130.28891","1003019-20","","0","1003019","",""
"1003020-20","","旭学園通り南(2)","","33.24419","130.28682","1003020-20","","0","1003020","",""
"1003020-10","","旭学園通り南(1)","","33.24424","130.28656","1003020-10","","0","1003020","",""
"1003019-10","","佐賀大学西(1)","","33.24448","130.28828","1003019-10","","0","1003019","",""
"1003018-01","","佐賀大学前(1)","","33.2456","130.29308","1003018-01","","0","1003018","",""
